epoch,loss_train_1l,acc_train_1l,loss_val_1l,acc_val_1l,loss_test_1l,acc_test_1l,time_epoch_s_1l,loss_train_2l,acc_train_2l,loss_val_2l,acc_val_2l,loss_test_2l,acc_test_2l,time_epoch_s_2l
125,1.021666037,0.9238095238,1.023982563,0.9166666667,1.020587525,0.9523809524,0.40257,1.00879273,0.819047619,1.027453364,0.7083333333,1.044173983,0.5714285714,2.729506
126,1.020406857,0.9333333333,1.022765692,0.9166666667,1.019315448,0.9523809524,0.159667,1.007338696,0.819047619,1.025412605,0.7083333333,1.042967859,0.5714285714,2.76592
127,1.019130471,0.9333333333,1.021532216,0.9166666667,1.018026002,0.9523809524,0.15641,1.006185671,0.8095238095,1.025337105,0.7083333333,1.041342754,0.5714285714,2.739023
128,1.017836687,0.9428571429,1.020281949,0.9166666667,1.016718988,0.9523809524,0.417219,1.005133021,0.8095238095,1.023093798,0.6666666667,1.040324398,0.619047619,2.764934
129,1.016525311,0.9428571429,1.019014703,0.9166666667,1.015394207,0.9523809524,0.157607,1.004528101,0.8095238095,1.024888993,0.6666666667,1.038887313,0.5714285714,2.828027
130,1.015196153,0.9428571429,1.017730294,0.9166666667,1.014051461,0.9523809524,0.159808,1.002036546,0.7904761905,1.021038469,0.75,1.036890892,0.5714285714,2.793404
131,1.013849021,0.9428571429,1.016428535,0.9166666667,1.012690551,0.9523809524,0.401982,1.001300848,0.8,1.022828169,0.6666666667,1.037147604,0.5714285714,2.738909
132,1.012483726,0.9428571429,1.015109244,0.9166666667,1.011311279,0.9523809524,0.163468,0.9995629625,0.780952381,1.018845569,0.7083333333,1.033886391,0.5238095238,2.754943
133,1.011100079,0.9428571429,1.013772236,0.9166666667,1.009913449,0.9523809524,0.156103,0.9976892302,0.780952381,1.019156654,0.7083333333,1.032929772,0.5714285714,2.735983
134,1.009697891,0.9428571429,1.012417329,0.9166666667,1.008496865,0.9523809524,0.406088,0.9955828405,0.8,1.016193198,0.7083333333,1.030981337,0.619047619,2.763421
135,1.008276975,0.9428571429,1.011044342,0.9166666667,1.007061331,0.9523809524,0.158352,0.9939697466,0.7904761905,1.014964134,0.7083333333,1.028358296,0.5238095238,2.744431
136,1.006837146,0.9428571429,1.009653094,0.9166666667,1.005606654,0.9523809524,0.158222,0.9922886299,0.8095238095,1.012294462,0.75,1.029032857,0.619047619,2.766483
137,1.00537822,0.9428571429,1.008243406,0.9166666667,1.00413264,0.9523809524,0.407211,0.9917506067,0.8,1.015083377,0.75,1.026313959,0.5238095238,2.783033
138,1.003900014,0.9428571429,1.006815102,0.9166666667,1.002639099,0.9523809524,0.157871,0.9898721417,0.8,1.00825062,0.7916666667,1.02666326,0.619047619,2.758503
139,1.002402346,0.9428571429,1.005368004,0.9166666667,1.001125838,0.9523809524,0.160979,0.9868245462,0.819047619,1.010956431,0.7083333333,1.023376051,0.5714285714,2.742643
140,1.000885037,0.9428571429,1.00390194,0.9166666667,0.9995926709,0.9523809524,0.402854,0.985350611,0.8095238095,1.003903921,0.7916666667,1.021339596,0.619047619,2.763907
141,0.9993479111,0.9428571429,1.002416737,0.9166666667,0.9980394093,0.9523809524,0.165492,0.9845324269,0.8095238095,1.010603645,0.75,1.022725438,0.5714285714,2.74146
142,0.9977907914,0.9428571429,1.000912224,0.9166666667,0.9964658682,0.9523809524,0.159522,0.9817451195,0.8,1.002032902,0.7916666667,1.017950406,0.619047619,2.763666
143,0.9962135052,0.9428571429,0.9993882342,0.9166666667,0.9948718642,0.9523809524,0.402008,0.9816809966,0.8,1.005393561,0.75,1.022453651,0.5714285714,2.81141
144,0.9946158818,0.9428571429,0.9978446003,0.9166666667,0.9932572162,0.9523809524,0.167536,0.9781554668,0.7904761905,0.998443857,0.7916666667,1.014337211,0.6666666667,2.778593
145,0.992997753,0.9428571429,0.9962811595,0.9166666667,0.991621745,0.9523809524,0.15627,0.9778885139,0.819047619,1.002329433,0.7916666667,1.019148929,0.619047619,2.757908
146,0.9913589531,0.9428571429,0.9946977506,0.9166666667,0.9899652741,0.9523809524,0.405997,0.9730564698,0.7904761905,0.9952333775,0.7916666667,1.012392518,0.6666666667,2.76572
147,0.9896993195,0.9428571429,0.9930942154,0.9166666667,0.9882876294,0.9523809524,0.159127,0.9735183551,0.8095238095,0.9972016383,0.75,1.015633632,0.619047619,2.742398
148,0.9880186922,0.9428571429,0.9914703987,0.9166666667,0.9865886393,0.9523809524,0.171664,0.970207201,0.8380952381,0.9936479718,0.7916666667,1.007873201,0.7142857143,2.791889
149,0.9863169148,0.9428571429,0.9898261479,0.9166666667,0.9848681354,0.9523809524,0.404774,0.9740037107,0.780952381,0.9984594247,0.75,1.017328312,0.619047619,2.741439
150,0.9845938339,0.9428571429,0.9881613141,0.9166666667,0.9831259521,0.9523809524,0.158005,0.969508515,0.819047619,0.9898063649,0.7916666667,1.007419258,0.7142857143,2.77397
151,0.9828492997,0.9428571429,0.9864757513,0.9166666667,0.981361927,0.9523809524,0.15407,0.9752409886,0.780952381,1.004001251,0.75,1.018106945,0.619047619,2.791454
152,0.981083166,0.9428571429,0.9847693173,0.9166666667,0.979575901,0.9523809524,0.403665,0.9619311373,0.8285714286,0.9830587317,0.7916666667,1.003966479,0.7142857143,2.810177
153,0.9792952905,0.9428571429,0.9830418736,0.9166666667,0.9777677188,0.9523809524,0.157045,0.9595895873,0.8571428571,0.9867651027,0.7916666667,1.005387663,0.6666666667,2.743761
